open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2025-07-26 16:49:00+08:00,187.5200,187.7200,187.4800,187.7100,25051.37,2025-07-26 16:49:59.999000+08:00,4700731.026060,2805,19882.37,3730791.416060,0
2025-07-26 16:50:00+08:00,187.7100,187.7700,187.6800,187.7100,16194.59,2025-07-26 16:50:59.999000+08:00,3040048.710100,1541,9865.77,1851999.210100,0
2025-07-26 16:51:00+08:00,187.7100,187.8100,187.6800,187.7700,22762.51,2025-07-26 16:51:59.999000+08:00,4273578.243600,2119,14547.13,2731274.324000,0
2025-07-26 16:52:00+08:00,187.7700,187.8300,187.6800,187.8100,13252.53,2025-07-26 16:52:59.999000+08:00,2488163.614100,2228,7240.08,1359366.773900,0
2025-07-26 16:53:00+08:00,187.8100,187.9100,187.7800,187.8500,16084.33,2025-07-26 16:53:59.999000+08:00,3021260.546800,6669,9588.82,1801203.462000,0
2025-07-26 16:54:00+08:00,187.8400,187.8500,187.7700,187.7700,5404.68,2025-07-26 16:54:59.999000+08:00,1015060.784900,862,1812.90,340501.934800,0
2025-07-26 16:55:00+08:00,187.7800,187.7800,187.6200,187.6700,26330.07,2025-07-26 16:55:59.999000+08:00,4941654.261800,2100,8105.19,1521185.593400,0
2025-07-26 16:56:00+08:00,187.6700,187.7400,187.6400,187.6500,11514.73,2025-07-26 16:56:59.999000+08:00,2160982.008000,1013,3710.42,696332.473800,0
2025-07-26 16:57:00+08:00,187.6400,187.7700,187.6300,187.7700,9850.84,2025-07-26 16:57:59.999000+08:00,1848957.015600,927,6440.48,1208806.388200,0
2025-07-26 16:58:00+08:00,187.7600,187.8200,187.6900,187.8200,6662.18,2025-07-26 16:58:59.999000+08:00,1250859.377900,748,3488.71,655029.135800,0
2025-07-26 16:59:00+08:00,187.8200,187.9900,187.8100,187.9600,24755.31,2025-07-26 16:59:59.999000+08:00,4651782.479800,1806,20187.60,3793497.040300,0
2025-07-26 17:00:00+08:00,187.9700,188.3800,187.9600,188.2100,69297.70,2025-07-26 17:00:59.999000+08:00,13038468.499400,5937,50499.96,9501481.492500,0
2025-07-26 17:01:00+08:00,188.2000,188.2400,188.0000,188.0400,49378.43,2025-07-26 17:01:59.999000+08:00,9289656.641500,2222,13021.52,2449523.245800,0
2025-07-26 17:02:00+08:00,188.0500,188.0800,187.8100,187.8200,22283.61,2025-07-26 17:02:59.999000+08:00,4188814.011700,1705,9479.46,1781896.590600,0
2025-07-26 17:03:00+08:00,187.8200,187.8700,187.6100,187.7000,14860.65,2025-07-26 17:03:59.999000+08:00,2789734.028200,1708,5320.65,998809.052900,0
2025-07-26 17:04:00+08:00,187.7000,187.7200,187.5300,187.5400,14713.87,2025-07-26 17:04:59.999000+08:00,2760401.109200,1341,4971.81,932802.894500,0
2025-07-26 17:05:00+08:00,187.5500,187.5900,187.4200,187.5300,17096.35,2025-07-26 17:05:59.999000+08:00,3205666.791200,1643,9189.33,1723068.463400,0
2025-07-26 17:06:00+08:00,187.5200,187.9100,187.5000,187.6900,17986.88,2025-07-26 17:06:59.999000+08:00,3376205.614800,2051,11254.83,2112407.261000,0
2025-07-26 17:07:00+08:00,187.7000,187.8000,187.6700,187.7400,7301.43,2025-07-26 17:07:59.999000+08:00,1370614.467100,842,5041.79,946372.920300,0
2025-07-26 17:08:00+08:00,187.7500,187.9500,187.6400,187.9500,15831.19,2025-07-26 17:08:59.999000+08:00,2971816.174800,1493,11077.96,2079559.956900,0
